100	3000
28	61	-32
95	47	-15
57	97	44
15	75	-34
11	58	17
53	10	6
76	25	5
20	63	38
28	25	8
79	37	6
43	69	-47
4	34	42
46	56	-39
4	37	-38
71	81	-46
13	35	28
76	1	7
89	58	-40
75	80	-18
79	15	-49
93	31	32
18	81	9
100	30	4
62	82	5
53	95	-34
54	13	-48
40	95	50
37	66	-11
2	93	45
57	80	20
46	78	16
100	41	-19
60	29	-41
18	40	33
46	19	-21
48	62	-23
87	40	-43
59	43	-36
91	15	-36
17	52	6
54	75	3
39	61	16
14	83	49
90	97	-10
87	59	-3
72	43	7
72	93	1
77	97	12
77	42	15
72	74	-16
43	32	49
14	75	-26
89	96	35
25	85	-19
14	84	13
55	37	30
16	96	-7
72	90	-11
41	75	39
55	82	-43
8	47	-22
13	37	-44
87	13	-30
82	84	48
74	29	-10
79	45	37
11	45	-23
51	65	-8
100	29	0
74	51	46
84	37	-44
48	56	-27
13	14	-46
77	42	29
11	36	41
72	56	23
18	80	46
60	70	-27
96	85	18
41	61	-34
71	98	-33
81	1	2
60	66	-30
51	47	44
59	3	-7
25	3	41
86	56	13
93	5	-12
11	85	-12
77	34	-7
68	17	-37
97	83	-47
55	71	-32
90	99	16
75	83	-45
15	3	37
7	76	-50
77	57	-18
51	30	7
53	45	-26
53	23	-34
77	98	4
10	95	25
16	88	23
91	44	-5
2	67	-5
74	64	-3
87	19	-50
100	73	8
67	38	-7
89	40	-11
60	14	-39
1	30	-35
40	66	44
46	10	-21
7	63	-31
19	5	-26
100	39	24
77	24	-18
96	26	4
54	58	-9
84	37	24
99	88	-38
63	47	11
8	35	-34
87	93	-33
10	88	-9
17	36	-50
59	61	5
96	41	16
33	62	5
7	95	28
72	57	-2
48	25	-3
48	50	5
12	71	-24
48	92	-38
11	57	26
40	85	-15
88	83	-28
82	79	19
90	91	28
15	92	-2
37	1	-18
24	40	22
54	12	26
46	30	-30
2	1	40
79	95	-43
97	80	16
14	32	-10
59	71	-48
54	3	-20
16	39	-18
85	38	-30
87	75	18
64	31	-6
13	96	23
6	82	25
2	76	-14
17	32	16
44	35	-26
46	43	-24
100	47	-17
57	21	-31
66	85	-18
36	44	28
99	1	31
11	42	5
9	31	9
67	30	-3
7	2	-24
15	8	26
87	45	47
48	29	-8
53	39	38
30	32	-27
79	5	-49
31	30	-1
59	85	-14
90	84	6
58	98	46
86	69	-31
42	26	-43
89	29	47
53	63	39
99	95	8
78	75	18
33	51	-13
34	30	31
73	23	-50
93	28	-21
4	44	1
70	41	44
91	78	36
46	92	9
78	30	42
18	23	43
46	31	-26
54	80	46
100	64	32
93	62	-24
51	40	30
2	17	4
18	38	27
25	3	47
74	39	12
6	40	4
84	8	-2
46	63	-32
47	45	-49
34	75	32
16	63	-34
68	23	-25
42	55	45
52	41	-7
62	76	39
95	3	21
37	98	-12
44	88	3
13	58	34
9	29	16
100	23	-32
81	35	15
13	69	29
77	40	24
100	49	-2
93	79	-27
53	70	-11
4	100	-23
16	21	-45
28	83	-37
53	94	-24
8	38	-18
96	19	36
14	32	44
90	21	-38
12	92	-14
23	1	50
28	47	-7
33	66	11
62	29	-8
39	99	-20
59	50	-5
77	16	23
54	25	-14
33	52	-2
17	16	19
48	75	48
10	40	-3
55	69	-29
7	52	50
55	39	-3
67	92	50
52	84	-4
2	84	-23
54	81	-15
28	5	-8
81	30	19
54	78	-20
34	41	-21
11	91	-14
31	66	-50
72	82	-46
4	63	5
54	14	-36
71	65	9
72	16	31
48	89	40
94	5	3
82	64	48
61	98	34
24	47	-3
2	78	-37
54	79	46
18	54	15
74	80	14
14	98	39
82	66	-20
64	85	16
72	16	-28
65	67	43
57	22	-30
18	84	19
2	85	27
54	80	30
14	84	9
87	48	38
43	32	-2
72	23	13
14	31	-3
57	82	-17
4	15	46
58	84	-42
52	38	-21
4	51	-19
14	39	-37
70	31	-32
73	22	30
62	69	-25
58	71	-22
6	55	-31
96	61	10
75	21	2
16	66	5
33	61	2
12	61	14
60	45	36
82	41	9
17	65	-39
82	32	45
72	89	-35
36	78	-28
53	36	-14
20	28	2
84	8	0
39	83	-8
42	96	-13
54	98	27
67	32	-3
99	84	50
65	80	-37
95	22	47
91	55	19
24	65	-50
56	5	-48
48	19	-1
50	62	43
87	57	48
13	57	3
42	62	48
59	57	20
68	57	-49
98	5	14
100	99	19
73	1	19
68	91	19
60	13	-32
54	48	-10
20	28	-46
19	22	-4
22	85	-26
70	45	-7
34	88	-8
75	80	-43
54	11	11
44	88	-38
20	15	-16
52	23	-1
84	95	-5
92	61	-35
41	47	-38
72	23	-41
54	55	-18
55	40	1
68	62	-4
99	21	-45
4	58	-21
53	61	-19
48	63	24
81	5	-36
55	34	-3
42	30	-25
62	19	-14
15	98	35
36	95	-28
50	8	-44
76	5	40
96	35	48
16	37	9
36	34	-17
77	92	-27
91	31	10
69	49	-5
72	65	47
17	88	-2
18	94	38
8	98	-9
100	83	-28
86	58	-6
89	91	43
93	97	-48
29	44	-43
84	44	21
52	3	-29
59	37	39
68	46	-25
49	22	-24
48	44	23
93	45	6
55	99	-9
69	32	48
9	52	-6
79	49	-23
78	66	35
67	61	24
98	49	-46
37	35	35
56	3	17
72	64	-34
86	70	-35
28	92	-37
50	45	-47
76	71	-23
15	88	23
57	28	31
78	5	4
18	93	46
24	19	32
64	49	-17
42	95	15
84	43	40
98	49	-34
17	49	39
87	27	-26
63	88	-28
72	11	-37
94	34	-36
23	21	24
62	32	-9
26	49	-6
1	27	-22
55	38	-24
54	11	-2
15	83	15
51	78	-13
93	8	-38
28	3	22
33	71	37
99	94	-24
20	97	-24
54	71	-40
97	38	-3
59	16	3
18	74	5
24	99	-19
65	69	35
74	12	-43
6	43	28
43	27	16
73	82	6
1	27	-13
60	46	17
4	37	10
52	89	48
18	73	30
42	36	-15
57	3	-20
24	43	-3
79	75	44
42	96	-24
87	69	4
6	28	37
39	28	44
45	32	12
82	31	34
59	98	-10
4	44	36
7	39	41
52	25	-48
2	19	29
84	65	-11
100	5	17
76	32	1
96	27	44
81	67	10
20	63	-45
42	63	-20
86	64	-16
55	32	-9
60	1	-13
77	69	15
60	22	-50
6	96	-44
64	88	-10
91	66	24
48	27	-16
73	37	20
34	98	-7
44	25	10
99	45	3
26	35	-45
25	61	39
34	37	-11
91	85	-49
74	10	36
97	43	20
39	81	-21
92	69	-38
54	5	-34
20	34	-47
18	63	30
22	66	-15
9	35	16
4	21	-24
6	83	36
33	35	8
74	73	-19
87	73	-11
81	67	17
17	11	-17
11	91	8
6	27	7
53	1	25
81	95	-46
46	69	16
73	94	16
84	25	25
87	45	45
67	3	45
77	83	14
34	32	-46
48	82	-43
63	45	-29
25	1	43
10	57	-17
78	35	6
2	25	8
90	32	4
18	76	-38
17	32	13
64	34	-11
90	39	14
13	61	46
46	37	-10
100	67	-4
18	23	18
54	91	-19
20	29	-25
72	24	15
17	88	47
7	14	21
11	95	-21
20	30	17
7	16	-17
55	15	-17
56	81	-16
64	47	-8
29	88	-3
46	45	-47
13	65	-46
39	22	-16
50	20	22
24	82	4
23	83	36
88	37	-17
78	66	-1
54	90	22
40	64	-19
68	27	-21
81	35	21
13	34	0
12	69	-25
36	15	34
13	42	3
24	57	-5
14	67	-45
7	92	41
88	80	-42
29	55	-16
62	96	1
53	21	23
52	97	16
17	58	-38
1	38	50
36	10	-44
58	39	-17
25	21	37
54	23	-6
42	61	-24
46	3	-16
87	36	18
53	48	-18
77	17	-13
69	49	-13
86	69	19
68	43	-41
17	32	-45
86	88	41
59	96	-36
74	93	-19
58	82	-12
42	8	13
97	83	7
70	25	27
54	55	10
52	51	29
33	65	-1
50	41	-7
18	51	-18
56	66	46
62	67	37
58	94	22
42	47	34
13	12	4
62	40	42
46	51	-21
51	85	11
37	3	19
14	97	-7
78	25	45
14	34	4
44	61	18
68	95	19
7	36	-30
82	75	-16
56	21	34
42	80	21
100	96	-50
25	38	49
23	69	-22
37	3	37
94	1	17
65	15	-35
46	97	17
4	56	-13
86	91	-45
41	75	-27
71	83	-25
48	76	11
100	85	46
93	94	16
77	45	-2
73	49	-27
62	63	31
90	15	35
89	91	-8
76	15	-40
59	56	-13
46	66	-43
9	86	14
57	41	42
52	41	46
14	3	9
89	44	-19
50	36	32
34	1	27
74	20	45
4	27	25
14	99	41
42	91	9
99	56	-27
71	92	-24
62	64	30
51	82	-18
54	14	32
59	50	3
46	28	34
52	37	41
53	63	-6
72	98	-16
59	97	-5
87	6	-33
54	25	-37
72	89	-30
20	99	32
26	38	-2
87	26	-17
94	3	36
79	81	49
46	31	1
35	66	-1
77	65	-26
59	91	27
12	30	-31
81	44	-20
29	71	-30
2	32	-49
16	30	-14
88	35	33
46	52	-8
52	55	33
4	14	21
91	8	-31
1	43	-21
93	50	-26
11	86	46
26	3	-45
55	45	38
7	70	8
13	38	-13
52	30	31
50	24	46
51	22	50
99	31	2
99	34	-15
65	47	-24
52	75	43
61	83	-41
29	44	-14
53	3	8
44	43	-29
90	65	48
50	55	-34
89	28	0
73	32	17
36	49	25
76	63	-32
72	33	-26
53	14	-43
6	30	3
48	85	17
73	79	-48
90	19	3
10	26	-27
58	55	10
52	70	38
84	67	-17
58	80	-26
60	11	35
4	86	35
73	75	-36
100	32	9
10	64	41
45	38	-44
99	85	19
73	8	-10
60	70	13
33	14	19
10	96	-47
55	95	-1
61	83	-47
36	64	18
52	81	-33
36	69	-12
71	92	-39
18	57	-27
75	85	-22
100	62	-41
29	95	-5
41	45	-46
18	78	7
72	86	-34
31	15	29
63	34	49
89	43	-13
20	64	-40
23	45	14
26	47	-17
79	49	-49
18	29	20
15	38	0
92	43	-6
97	94	-32
57	67	-18
4	31	-27
11	1	35
20	92	-34
70	69	43
26	75	23
11	81	41
54	69	25
18	85	-26
50	36	-8
58	55	15
1	80	-8
76	92	25
10	98	-7
73	39	32
100	3	48
9	88	-31
39	92	13
44	92	-31
29	80	-9
55	70	31
16	84	1
23	38	-8
6	21	40
9	27	50
93	36	-15
9	24	15
87	59	-46
11	91	41
46	75	-1
84	34	-34
55	26	49
1	22	41
65	19	11
54	80	38
13	66	5
65	85	16
33	73	7
52	12	-7
94	98	-8
99	83	16
37	69	-44
60	3	-9
2	94	5
13	10	-41
46	83	-47
91	64	30
56	63	-5
29	34	-44
91	84	0
59	49	6
71	85	-15
90	42	-2
4	77	-49
91	5	44
11	14	-24
51	26	-1
65	8	25
4	3	-33
17	73	-50
20	61	-14
40	92	-27
54	76	-18
43	80	32
87	38	-46
37	30	44
87	16	-11
57	34	-47
10	19	24
91	21	-30
29	96	18
68	80	7
88	8	-37
33	31	-32
20	89	-43
76	63	-24
59	45	9
44	43	33
73	71	5
7	73	-6
26	5	-11
11	76	-14
72	88	14
64	41	17
69	35	-16
50	89	-49
1	61	-40
17	32	-34
74	83	-36
44	25	35
55	85	27
88	41	-40
48	96	34
88	22	-50
63	21	-19
62	69	24
11	56	-44
62	75	-7
11	1	14
75	66	22
52	79	46
13	36	13
72	21	44
7	21	-9
25	98	-42
76	95	42
79	63	-13
68	98	-30
97	22	7
58	28	27
99	23	-13
29	65	8
51	26	-13
7	63	-31
11	49	7
7	38	-12
16	79	-7
91	37	-18
7	59	-6
54	63	36
10	43	-45
58	27	-30
86	29	18
37	1	49
66	85	-44
31	19	21
17	46	-6
94	83	-26
53	5	34
20	38	-6
33	84	16
7	65	26
54	76	40
52	5	49
77	99	-22
88	67	-15
33	36	21
82	25	26
46	70	-8
13	23	-10
58	1	-37
77	63	-13
63	34	6
14	85	-4
87	98	-43
36	75	16
97	41	28
33	98	-35
12	25	13
86	91	-13
100	15	27
55	84	36
11	26	-31
93	36	25
2	52	44
42	5	-18
33	76	-4
97	41	45
91	95	37
59	15	23
39	44	-6
68	8	-19
58	71	-14
64	3	14
17	91	2
89	25	-22
33	71	-6
59	52	13
17	29	-43
15	80	29
91	80	-28
72	34	23
7	24	27
42	83	-11
3	38	33
29	26	-42
100	22	47
29	69	40
7	61	17
58	5	40
93	89	3
4	75	-19
57	27	-33
18	79	43
39	65	-28
84	67	49
93	82	-8
48	41	-30
6	64	-48
92	27	3
88	3	13
20	98	15
46	47	-23
54	44	-6
78	1	38
80	38	47
70	21	47
4	19	-29
90	5	-38
71	56	-26
42	5	47
14	84	16
72	83	-8
15	35	-6
47	22	3
96	15	-27
10	43	37
96	37	29
51	8	4
84	49	50
74	61	8
48	6	-36
91	56	41
68	49	7
93	69	36
13	74	-34
94	67	11
53	89	-37
17	47	-16
55	45	-23
74	67	38
99	78	-49
74	81	-4
14	37	-10
69	5	41
46	29	35
23	30	-4
87	84	33
88	27	-3
63	61	10
42	95	-35
13	79	13
87	78	-10
56	38	11
56	81	-12
78	26	24
51	58	38
53	50	4
77	71	-35
78	47	-8
58	98	30
23	92	19
1	85	-46
51	57	-31
46	95	20
72	87	29
62	29	-48
84	32	45
11	3	27
91	39	-45
34	38	-3
12	39	-43
58	71	-20
18	25	-42
6	81	-5
71	80	-46
53	15	48
7	79	-11
86	22	21
6	37	-41
6	61	-50
15	25	41
55	65	-14
72	68	37
56	26	24
36	14	-31
18	14	24
36	31	-40
62	89	34
54	86	-11
59	55	-31
57	95	-29
81	15	-34
13	19	5
89	55	22
13	19	-42
36	34	-29
93	38	-14
29	65	-29
73	12	21
19	25	-21
23	47	26
90	37	46
62	3	28
14	3	-20
77	28	27
31	23	-28
6	57	-19
93	73	-24
36	89	40
17	29	-10
87	34	-12
17	92	2
57	94	-4
20	83	-20
50	81	-24
29	34	-34
53	38	17
50	39	21
77	44	8
44	21	48
43	5	11
74	35	4
9	10	7
44	32	-25
15	43	8
54	5	7
73	45	4
50	66	36
4	37	3
16	84	-32
57	25	-35
40	21	11
74	88	14
57	3	30
59	62	-8
17	44	-50
36	44	16
96	75	25
44	27	2
40	78	10
55	5	-46
29	56	42
11	20	-11
36	61	48
16	38	3
15	85	-7
74	70	-49
2	47	-42
46	82	7
70	27	-37
93	58	-37
18	12	-13
46	29	-40
93	27	37
91	95	-47
29	57	-21
92	22	22
37	47	20
49	75	-43
100	32	47
18	54	3
55	71	-31
2	66	21
28	38	18
87	63	-39
100	59	24
52	3	-7
33	67	10
96	41	45
90	67	15
79	84	26
54	95	29
31	22	2
24	85	5
94	1	10
24	32	-39
94	79	44
97	76	-7
74	65	-49
63	78	9
79	26	-7
68	25	-25
44	22	-50
25	61	29
71	75	32
40	47	24
9	16	-8
48	66	-45
73	15	-43
42	39	-14
70	67	39
60	71	37
63	5	-29
93	36	14
89	82	24
2	86	-9
33	8	46
17	10	22
37	47	38
46	27	-31
53	70	2
70	80	24
15	66	48
65	92	0
100	21	-3
93	38	-11
59	58	30
29	92	-44
89	56	31
18	54	-8
12	97	23
44	66	-12
60	67	-31
70	44	2
82	47	3
17	69	-25
91	64	-20
28	45	-47
48	51	7
63	34	22
2	68	-32
79	41	-1
2	48	45
9	15	18
40	34	36
74	14	-6
65	88	-50
64	56	-3
60	27	40
65	67	-35
95	32	-30
93	75	48
6	71	43
54	8	-43
6	40	-18
16	14	-15
62	82	48
49	22	39
77	60	-48
68	44	-3
30	49	-36
33	63	-6
21	83	-45
16	88	-47
70	96	-1
4	73	2
2	16	-3
60	55	47
5	83	48
89	98	7
45	85	-14
59	14	25
89	79	36
100	63	-46
68	66	-22
2	27	-27
9	82	7
18	98	33
91	83	30
40	3	-20
17	74	-16
82	34	2
25	30	-11
86	3	-30
74	90	9
18	17	-18
86	22	-40
54	26	28
93	19	-35
24	66	-14
23	3	7
54	44	-16
55	95	42
13	39	-4
87	99	33
84	27	-30
20	15	27
24	38	39
4	56	-49
100	90	-18
13	73	-27
86	56	-37
57	85	38
33	6	38
94	27	-11
53	22	1
4	24	-21
10	71	-5
54	29	-20
19	61	24
59	64	34
55	99	43
42	29	-39
54	30	3
10	76	2
10	85	-25
54	88	18
23	79	-15
14	98	-8
14	81	-21
31	22	2
95	92	5
72	22	-50
23	43	-24
82	92	-10
46	78	20
6	30	-25
87	33	46
46	81	18
54	94	-45
56	30	-4
58	79	0
48	71	-7
24	43	25
17	62	22
48	94	-43
55	8	-21
88	66	-26
36	61	-2
37	66	5
6	55	-12
73	25	28
61	21	-41
94	83	-10
11	85	10
9	69	36
18	34	-47
88	19	27
74	23	-2
28	81	-45
50	14	35
44	5	-8
39	75	46
98	35	36
29	1	-14
4	25	10
10	28	-20
76	27	-10
20	70	15
99	31	-28
77	81	28
56	92	3
87	74	-14
19	30	18
33	12	38
90	96	11
70	98	-37
53	38	6
86	37	15
52	26	46
11	40	19
19	30	10
57	56	30
72	42	50
58	81	-48
6	95	-42
18	61	-23
40	26	24
87	81	-38
6	27	-17
20	31	-30
73	12	6
31	49	-15
4	54	35
10	8	38
29	8	50
70	80	8
40	19	24
100	26	-42
73	84	27
84	26	-42
40	26	43
72	34	-6
84	47	17
82	56	-11
51	78	-20
72	33	17
53	70	3
59	6	-39
77	65	30
77	53	-47
7	87	-38
37	38	-35
83	85	-23
70	3	-16
18	5	43
2	58	29
19	67	46
66	38	45
18	72	-21
74	56	12
93	44	-30
88	80	24
41	95	40
10	73	-6
59	50	-43
13	34	38
48	26	-46
69	38	-1
4	51	-19
33	62	-46
17	16	-24
7	36	-47
29	71	11
32	38	28
44	98	5
72	21	24
15	49	-50
55	76	-2
46	37	-13
96	47	-6
86	12	26
74	79	-27
92	8	-29
41	80	-25
55	66	-32
41	43	-26
6	94	19
46	67	-3
4	10	21
77	11	9
74	83	32
37	61	-50
7	56	-25
51	91	36
77	71	31
77	84	-50
82	76	4
62	3	-25
9	98	48
93	22	47
48	40	-24
31	84	9
90	48	20
14	43	2
52	91	35
4	39	22
51	86	46
88	19	46
53	73	-3
100	95	-31
42	52	-11
51	97	-8
35	45	19
17	63	46
11	63	22
54	62	-16
51	26	-16
92	66	-6
24	95	-24
19	69	7
77	84	34
74	90	-23
17	69	24
55	71	-18
40	22	-41
6	38	-5
96	67	2
47	85	41
53	90	-23
18	16	-41
71	5	-48
86	8	-9
17	58	-40
58	61	24
37	45	50
50	96	16
44	75	40
53	75	-7
100	12	-12
4	89	-26
90	35	-22
29	94	14
46	85	24
18	23	-4
4	72	13
68	61	-7
73	15	-1
62	55	23
89	79	-5
59	82	14
20	78	-25
90	58	-36
77	100	1
96	71	9
33	15	-29
55	30	29
3	49	47
55	56	-10
52	78	24
10	71	-11
93	5	35
82	21	29
36	32	-40
81	35	-46
23	80	39
72	56	-47
10	35	47
24	34	-34
34	67	-19
33	83	-33
60	21	2
4	78	-15
59	38	-48
3	35	49
99	47	19
87	20	24
82	26	-14
26	22	-36
67	22	-9
36	43	-15
48	89	-33
59	70	1
12	98	-22
51	29	12
46	51	36
77	1	50
91	80	-29
13	50	42
96	44	40
33	8	-3
60	1	28
77	78	-29
77	56	-41
54	19	-4
81	95	-28
2	42	50
19	85	30
7	56	-50
78	19	-10
97	85	41
72	54	36
41	80	16
40	15	33
25	69	0
54	81	-4
54	83	46
76	69	-21
7	15	-9
16	56	24
60	46	6
19	66	34
54	22	8
9	12	42
17	70	-34
11	91	-10
26	75	-43
37	32	10
90	92	9
50	79	-9
9	79	-13
99	22	39
70	34	-49
72	16	45
59	97	-27
72	10	13
28	27	16
51	66	-38
91	1	-15
33	71	37
93	22	-47
60	89	-22
81	88	28
64	88	44
96	63	-21
10	79	-29
81	26	8
100	75	37
13	15	-19
43	69	7
59	65	45
11	44	-8
4	100	-10
73	5	-27
16	69	-15
2	83	47
24	92	-39
33	81	22
62	49	-2
89	21	-5
56	30	7
77	38	18
93	10	11
100	39	-16
82	43	28
57	45	-9
58	35	-40
86	70	4
9	10	5
13	67	-4
53	80	18
46	63	26
7	27	-41
71	95	-19
17	51	-6
87	89	-28
87	36	-30
2	57	49
2	96	-41
48	62	4
52	35	29
11	71	-32
93	19	-43
71	30	27
6	45	32
23	84	3
57	26	6
73	28	-43
8	3	22
93	20	-5
29	66	-47
70	80	-40
82	78	13
29	43	-12
87	99	-48
63	81	11
53	57	-17
42	25	-13
17	97	19
86	92	-11
49	75	45
57	70	-32
99	27	-50
10	6	-20
24	92	-37
28	15	18
91	29	38
2	17	-30
57	66	21
70	19	-32
60	68	-24
54	55	4
87	83	50
39	38	13
2	91	31
4	51	-22
100	30	-26
58	75	38
73	64	18
13	38	25
22	85	19
69	75	12
88	67	-3
92	27	16
57	49	-33
63	44	-1
64	22	-37
11	24	-4
15	26	25
46	84	-17
77	32	36
59	82	-25
44	80	-38
56	67	-41
87	42	41
9	26	-17
97	95	-48
46	51	-25
40	75	-34
24	21	-22
75	21	-47
53	23	27
62	37	-37
28	35	-6
20	65	-28
62	75	26
25	8	-37
80	85	44
60	13	-44
51	89	3
87	55	40
23	85	-16
46	36	-33
64	38	-41
53	90	-39
88	35	30
68	65	-43
53	21	-29
23	21	-5
100	91	-44
92	22	-30
96	71	27
91	80	-16
6	55	36
77	21	49
17	38	20
65	45	36
91	44	33
2	80	-46
41	19	22
10	88	-11
68	36	-44
10	98	37
98	47	-1
33	97	39
41	85	20
24	85	42
58	80	-12
81	78	31
100	27	-12
43	69	22
12	80	-7
68	56	28
52	62	-5
11	76	43
5	35	25
6	61	-13
34	25	-16
88	37	50
100	79	13
67	47	24
59	91	9
86	47	-16
81	85	-28
73	88	34
74	32	44
81	38	20
70	95	-39
46	36	40
33	40	-25
86	98	29
97	84	-50
7	52	41
87	97	5
69	45	-16
93	41	48
12	79	-32
88	32	6
16	81	-34
72	43	-9
82	41	22
96	61	8
44	75	35
29	80	-13
7	25	5
8	5	25
10	29	-8
95	49	-41
84	80	21
90	82	13
48	24	-18
26	98	43
96	41	-6
60	16	-8
53	56	-47
73	29	-2
91	28	-25
39	98	-43
59	86	14
6	5	44
42	81	41
89	38	-40
2	70	-32
100	67	38
71	35	38
2	10	42
42	84	40
81	49	-6
28	85	-2
4	11	-23
10	37	-27
90	14	-27
59	63	-36
59	27	-33
100	61	28
62	49	35
13	90	2
76	56	-13
56	81	33
50	10	41
60	65	8
76	88	16
46	63	-24
34	78	-41
56	44	-21
52	78	50
89	37	27
6	15	-15
4	93	21
48	80	13
53	65	-29
99	80	2
42	75	-5
70	35	-46
86	8	-7
84	80	-32
4	88	-48
54	22	47
72	10	-25
86	1	45
24	40	34
100	62	-6
100	24	-31
72	39	23
65	49	-9
72	82	-16
72	97	-39
29	22	8
3	83	41
72	34	-13
70	22	40
11	70	-40
89	98	-30
34	5	-18
53	44	-34
33	30	-28
34	8	-1
33	90	8
53	96	48
16	19	10
6	95	7
43	83	-10
16	14	10
52	83	-30
100	84	42
15	69	6
26	75	14
56	25	-25
82	66	-49
70	26	47
7	61	20
91	1	-16
62	32	47
51	28	45
76	67	14
20	26	29
52	94	14
77	78	-24
48	70	-21
16	19	-40
40	79	41
51	63	-20
96	88	-50
68	84	8
4	25	13
97	34	-12
53	34	1
90	89	36
13	32	0
79	63	-11
21	5	-4
19	43	41
10	45	-26
42	47	-8
25	80	-8
62	97	40
33	37	-20
24	39	-46
36	39	37
8	5	50
74	97	-39
11	46	1
67	75	10
70	31	-20
68	46	8
100	62	-5
76	37	-10
